标志名称,标志图片,标志描述
禁止车辆临时或长时停放,禁止车辆临时或长时停放.jpg,禁止车辆临时或长时停放
禁止驶入,禁止驶入.jpg,禁止驶入
靠右侧道路行驶,靠右侧道路行驶.jpg,靠右侧道路行驶
禁止鸣喇叭,禁止鸣喇叭.jpg,禁止鸣喇叭
限制速度40,限制速度.jpg,限制速度40
限制速度50,限制速度.jpg,限制速度50
限制速度80,限制速度.jpg,限制速度80
限制速度60,限制速度.jpg,限制速度60
禁止载货汽车驶入,禁止载货汽车驶入.jpg,禁止载货汽车驶入
机动车行驶,机动车行驶.jpg,机动车行驶
限制速度100,限制速度.jpg,限制速度100
限制速度30,限制速度.jpg,限制速度30
最低限速60,最低限速.jpg,最低限速60
非机动车行驶,非机动车行驶.jpg,非机动车行驶
限制速度5,限制速度.jpg,限制速度5
注意行人,注意行人.jpg,注意行人
禁止掉头,禁止掉头.jpg,禁止掉头
禁止机动车驶入,禁止机动车驶入.jpg,禁止机动车驶入
限制速度120,限制速度.jpg,限制速度120
最低限速80,最低限速.jpg,最低限速80
人行横道,人行横道.jpg,人行横道
禁止向左转弯,禁止向左转弯.jpg,禁止向左转弯
解除限制速度40,解除限制速度.jpg,解除限制速度40
限制高度4.5m,限制高度.jpg,限制高度4.5m
合流,合流.jpg,合流
禁止大型客车驶入,禁止大型客车驶入.jpg,禁止大型客车驶入
注意儿童,注意儿童.jpg,注意儿童
限制质量20T,限制质量.jpg,限制质量20T
禁止二轮摩托车驶入,禁止二轮摩托车驶入.jpg,禁止二轮摩托车驶入
减速让行,减速让行.jpg,减速让行
限制速度70,限制速度.jpg,限制速度70
限制质量55T,限制质量.jpg,限制质量55T
限制速度20,限制速度.jpg,限制速度20
最低限速100,最低限速.jpg,最低限速100
十字交叉,十字交叉.jpg,十字交叉
禁止向右转弯,禁止向右转弯.jpg,禁止向右转弯
禁止运输危险物品车辆驶入,禁止运输危险物品车辆驶入.jpg,禁止运输危险物品车辆驶入
限制高度4m,限制高度.jpg,限制高度4m
限制质量30T,限制质量.jpg,限制质量30T
限制高度5m,限制高度.jpg,限制高度5m
施工,施工.jpg,施工
禁止非机动车进入,禁止非机动车进入.jpg,禁止非机动车进入
冬季浏览区,冬季浏览区.jpg,冬季浏览区
机动车行驶,机动车行驶.jpg,机动车行驶
禁止车辆临时或长时停放,禁止车辆临时或长时停放.jpg,禁止车辆临时或长时停放
终点预告,终点预告.jpg,终点预告
限制速度,限制速度.jpg,限制速度
互通式立交,互通式立交.jpg,互通式立交
十字交叉,十字交叉.jpg,十字交叉
此路不通,此路不通.jpg,此路不通
禁止通行,禁止通行.jpg,禁止通行
解除限制速度,解除限制速度.jpg,解除限制速度
交叉路口预告,交叉路口预告.jpg,交叉路口预告
干路先行,干路先行.jpg,干路先行
注意落石,注意落石.jpg,注意落石
禁止驶入,禁止驶入.jpg,禁止驶入
起点,起点.jpg,起点
人行横道,人行横道.jpg,人行横道
施工,施工.jpg,施工
环岛行驶,环岛行驶.jpg,环岛行驶
禁止骑自行车下坡,禁止骑自行车下坡.jpg,禁止骑自行车下坡
连续弯路,连续弯路.jpg,连续弯路
停车让行,停车让行.jpg,停车让行
旅游区方向,旅游区方向.jpg,旅游区方向
环形交叉路口,环形交叉路口.jpg,环形交叉路口
禁止鸣喇叭,禁止鸣喇叭.jpg,禁止鸣喇叭
道路交通信息,道路交通信息.jpg,道路交通信息
公交线路专用车道,公交线路专用车道.jpg,公交线路专用车道
有人看守铁路道口,有人看守铁路道口.jpg,有人看守铁路道口
百米牌,百米牌.jpg,百米牌
终点提示,终点提示.jpg,终点提示
钓鱼,钓鱼.jpg,钓鱼
事故,事故.jpg,事故
县道编号,县道编号.jpg,县道编号
向左改道,向左改道.jpg,向左改道
多雾路段,多雾路段.jpg,多雾路段
时间范围,时间范围.jpg,时间范围
车距确认,车距确认.jpg,车距确认
道路施工,道路施工.jpg,道路施工
免费停车场,免费停车场.jpg,免费停车场
合流,合流.jpg,合流
国道编号,国道编号.jpg,国道编号
学校,学校.jpg,学校
海关,海关.jpg,海关
车辆慢行,车辆慢行.jpg,车辆慢行
除公共汽车外,除公共汽车外.jpg,除公共汽车外
分流,分流.jpg,分流
向右行驶,向右行驶.jpg,向右行驶
坍方,坍方.jpg,坍方
收费停车场,收费停车场.jpg,收费停车场
省道编号,省道编号.jpg,省道编号
连续下坡,连续下坡.jpg,连续下坡
出入口,出入口.jpg,出入口